_step,metrics/affix_reward
161,1.0
162,1.0
163,0.99609375
164,0.9778645833333333
165,0.94921875
166,1.0
167,0.96875
168,0.9375
169,0.91796875
170,1.0
171,0.978515625
172,1.0
173,0.9609375
174,0.96875
175,0.9739583333333333
176,0.984375
177,1.0
178,1.0
179,1.0
180,1.0
181,0.984375
182,1.0
183,0.953125
184,0.9583333333333334
185,0.90625
186,0.96875
187,0.8880208333333333
188,0.9811197916666667
189,0.970703125
190,0.96875
191,0.9466145833333334
192,0.9166666666666666
193,0.921875
194,0.9225260416666666
195,0.93359375
196,1.0
197,0.912109375
198,0.9752604166666667
199,0.9375
200,1.0
201,0.96875
202,1.0
203,0.96875
204,0.9466145833333333
205,0.939453125
206,0.9596354166666667
207,0.875
208,0.9921875
209,1.0
210,0.9563802083333333
211,0.9446614583333334
212,0.96875
213,0.99609375
214,0.9153645833333333
215,1.0
216,0.9368489583333334
217,1.0
218,0.98046875
219,0.953125
220,1.0
221,0.9375
222,0.90625
223,0.96875
224,0.97265625
225,0.97265625
226,0.8984375
227,0.8990885416666667
228,0.96875
229,0.986328125
230,0.9739583333333333
231,0.876953125
232,0.9192708333333333
233,0.9752604166666666
234,1.0
235,1.0
236,0.96875
237,0.94140625
238,0.98046875
239,0.93359375
240,0.96484375
241,1.0
242,1.0
243,0.982421875
244,0.984375
245,1.0
246,1.0
247,0.96875
248,0.9765625
249,0.984375
250,0.9557291666666666
251,1.0
252,0.97265625
253,0.947265625
254,0.9342447916666667
255,0.96875
256,0.953125
257,0.9765625
258,0.96875
259,1.0
260,1.0
261,1.0
262,1.0
263,0.9765625
264,1.0
265,0.98046875
266,0.94921875
267,0.953125
268,0.96875
269,0.9498697916666666
270,1.0
271,0.955078125
272,0.98046875
273,0.96875
274,0.9375
275,0.9921875
276,0.9557291666666666
277,1.0
278,0.96875
279,0.9375
280,0.984375
281,0.98828125
282,0.984375
283,0.9375
284,0.982421875
285,0.96875
286,0.9485677083333333
287,1.0
288,0.97265625
289,0.962890625
290,1.0
291,1.0
292,1.0
293,0.91796875
294,0.94140625
295,1.0
296,0.9765625
297,1.0
298,0.9375
299,0.9518229166666667
300,0.95703125
301,0.962890625
302,0.96875
303,0.96875
304,1.0
305,1.0
306,1.0
307,0.96484375
308,1.0
309,0.94140625
310,0.984375
311,0.9765625
312,0.96875
313,0.984375
314,0.908203125
315,0.96875
316,1.0
317,0.96875
318,0.962890625
319,0.96875
320,0.9752604166666667
321,1.0
322,0.95703125
323,0.96875
324,0.96875
325,0.9778645833333334
326,0.96875
327,0.96875
328,1.0
329,0.9609375
330,0.9856770833333334
331,0.974609375
332,0.9270833333333333
333,0.96875
334,0.986328125
335,0.96875
336,0.90625
337,0.9791666666666666
338,0.984375
339,0.9765625
340,0.9296875
341,1.0
342,0.9309895833333334
343,0.98828125
344,0.9505208333333334
345,0.96875
346,0.953125
347,0.916015625
348,0.96875
349,0.96875
350,0.96875
351,0.9778645833333333
352,0.96875
353,1.0
354,1.0
355,1.0
356,0.9765625
357,1.0
358,0.908203125
359,0.9765625
360,0.9498697916666667
361,1.0
362,0.9375
363,0.974609375
364,0.9505208333333333
365,0.970703125
366,0.9583333333333333
367,0.974609375
368,0.96875
369,0.9453125
370,0.970703125
371,0.98046875
372,0.953125
373,0.8528645833333334
374,0.94140625
375,0.9583333333333334
376,0.96875
377,0.9817708333333334
378,1.0
379,1.0
380,0.953125
381,1.0
382,0.9140625
383,1.0
384,0.96875
385,1.0
386,1.0
387,0.96875
388,0.9296875
389,0.98046875
390,0.958984375
391,0.91796875
392,1.0
393,0.9765625
394,0.90625
395,1.0
396,1.0
397,0.9798177083333334
398,0.94140625
399,0.96875
